pl_name,pl_letter,hostname,gaia_id,disc_locale,ra,dec,pl_orbper,st_spectype,pl_rade,pl_masse,st_lum,sy_dist,sky_coord.ra,sky_coord.dec
HD 73267 c,Unknown,Unknown,Unknown,Ground,129.0735123,-34.4594469,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.0735123,-34.4594469
HD 73344 b,Unknown,Unknown,Unknown,Ground,129.6894456,23.6852651,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.6894456,23.6852651
HD 73526 b,Unknown,Unknown,Unknown,Ground,129.318331,-41.3184231,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.318331,-41.3184231
HD 73526 c,Unknown,Unknown,Unknown,Ground,129.318331,-41.3184231,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.318331,-41.3184231
HD 73534 b,Unknown,Unknown,Unknown,Ground,129.8153421,12.9599703,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.8153421,12.9599703
HD 73583 b,Unknown,Unknown,Unknown,Ground,129.6883026,-13.2565267,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.6883026,-13.2565267
HD 73583 c,Unknown,Unknown,Unknown,Ground,129.6883026,-13.2565267,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.6883026,-13.2565267
HD 74156 b,Unknown,Unknown,Unknown,Ground,130.6047813,4.5772338,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,130.6047813,4.5772338
HD 74156 c,Unknown,Unknown,Unknown,Ground,130.6047813,4.5772338,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,130.6047813,4.5772338
HD 7449 b,Unknown,Unknown,Unknown,Ground,18.621465,-5.0479716,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,18.621465,-5.0479716
HD 74698 b,Unknown,Unknown,Unknown,Ground,130.0744755,-71.8768726,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,130.0744755,-71.8768726
HD 74698 c,Unknown,Unknown,Unknown,Ground,130.0744755,-71.8768726,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,130.0744755,-71.8768726
HD 75289 b,Unknown,Unknown,Unknown,Ground,131.9181715,-41.7377748,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,131.9181715,-41.7377748
HD 75302 b,Unknown,Unknown,Unknown,Ground,132.3015641,3.4850141,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,132.3015641,3.4850141
HD 75784 b,Unknown,Unknown,Unknown,Ground,133.0992289,13.2330548,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,133.0992289,13.2330548
HD 75784 c,Unknown,Unknown,Unknown,Ground,133.0992289,13.2330548,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,133.0992289,13.2330548
HD 75898 b,Unknown,Unknown,Unknown,Ground,133.4611999,33.0566885,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,133.4611999,33.0566885
HD 76700 b,Unknown,Unknown,Unknown,Ground,133.4782248,-66.8004747,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,133.4782248,-66.8004747
HD 76920 b,Unknown,Unknown,Unknown,Ground,133.820353,-67.2653621,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,133.820353,-67.2653621
HD 77338 b,Unknown,Unknown,Unknown,Ground,135.3022475,-25.5282343,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,135.3022475,-25.5282343
HD 77946 b,Unknown,Unknown,Unknown,Ground,136.777644,46.6724251,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,136.777644,46.6724251
HD 79181 b,Unknown,Unknown,Unknown,Ground,137.9944736,-19.7474341,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,137.9944736,-19.7474341
HD 7924 b,Unknown,Unknown,Unknown,Ground,20.4956562,76.7101475,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,20.4956562,76.7101475
