Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
277,Kepler-7 b,Kepler-7,288.5814928,41.0897335,12.8649,922.562
278,HATS-35 b,HATS-35,296.688442,-63.5656488,12.4605,514.555
279,CoRoT-2 b,CoRoT-2,291.7770457,1.3836634,12.2489,213.283
280,WASP-175 b,WASP-175,166.3187996,-34.1227453,12.7065,539.36
281,WASP-24 b,WASP-24,227.2154975,2.343286,11.3945,322.114
282,WASP-119 b,WASP-119,55.9336392,-65.19378,12.1014,302.448
283,WASP-41 b,WASP-41,190.6188034,-30.6398176,11.2823,163.371
284,UCAC3 113-933 b,UCAC3 113-933,5.2758121,-33.8031679,11.8242,52.5829
285,UCAC4 328-061594 b,UCAC4 328-061594,152.6991091,-24.4532674,15.212,39.9089
286,GJ 900 b,GJ 900 A,353.7526177,1.6055211,9.02571,20.8065
287,Kepler-52 b,Kepler-52,286.7380152,49.9757383,15.0589,321.542
288,WASP-60 b,WASP-60,356.6667136,31.1559115,12.0196,431.052
289,WASP-73 b,WASP-73,319.9496969,-58.1489328,10.2607,316.678
290,LP 791-18 c,LP 791-18,165.6904843,-16.4064445,15.0715,26.4927
291,CoRoT-11 b,CoRoT-11,280.6872998,5.9376586,12.841,655.037
292,KELT-6 b,KELT-6,195.9818362,30.640145,10.1934,240.726
293,WASP-42 b,WASP-42,192.981203,-42.0736165,11.9686,177.291
294,Kepler-18 d,Kepler-18,298.0794448,44.746248,13.5393,433.047
295,CoRoT-19 b,CoRoT-19,97.0335983,-0.1707293,13.7831,790.663
296,TOI-150.01,TOI-150,112.965421,-73.6060358,11.3408,336.267
297,LHS 1815 b,LHS 1815,91.0899861,-55.3115376,11.2362,29.8424
298,TOI-444 b,TOI-444,64.1839982,-26.7664071,9.6063,57.3973
299,Wolf 327 b,Wolf 327,148.3783199,35.570548,11.9522,28.5321
300,WASP-20 b,WASP-20,5.1605621,-23.9357894,10.6503,211.877
301,WASP-10 b,WASP-10,348.9930457,31.4627508,12.1739,140.998
302,KELT-4 A b,KELT-4 A,157.06262,25.5731366,9.95702,218.05
303,Kepler-105 c,Kepler-105,287.8872376,46.2761224,12.8025,459.223
304,WASP-90 b,WASP-90,315.5319489,7.0562793,11.4559,466.433
305,TOI-1685 b,TOI-1685,68.5939529,43.0370395,12.2956,37.6153
306,TOI-1062 b,TOI-1062,38.1209678,-78.0236828,10.0008,82.1733
307,TOI-431 b,TOI-431,83.2692502,-26.7238698,8.79171,32.5686
308,TOI-2260 b,TOI-2260,247.6669998,49.0467891,10.2488,101.251
309,WASP-156 b,WASP-156,32.782085,2.4181937,11.3227,122.066
310,HD 25463 c,HD 25463,60.7483361,9.2077676,6.77613,45.6181
311,TOI-757 b,TOI-757,187.9948428,-35.5544523,9.55369,60.3418
312,HIP 8152 b,HIP 8152,26.2092533,-18.4013844,9.90726,101.694
313,HIP 8152 c,HIP 8152,26.2092533,-18.4013844,9.90726,101.694
314,TOI-1798.02,TOI-1798,211.0939367,46.5192825,11.067,113.181
315,KELT-9 b,KELT-9,307.8598998,39.9389161,7.57675,204.455
316,WASP-71 b,WASP-71,29.2634506,0.7588247,10.5678,362.715
317,HAT-P-28 b,HAT-P-28,13.0009159,34.728402,12.8718,401.319
318,WASP-84 b,WASP-84,131.1069959,1.8598933,10.5745,100.588
319,HD 39091 b,HD 39091,84.2992798,-80.4646041,5.5128,18.2702
320,WASP-45 b,WASP-45,5.2377567,-35.998465,12.0487,211.196
321,Kepler-5 b,Kepler-5,299.4070341,44.0350387,13.2263,899.777
322,HD 190007 b,HD 190007,300.6956339,3.3266992,7.06341,12.7141
323,HAT-P-31 b,HAT-P-31,271.5376722,26.4266061,11.4501,344.05
324,HD 219134 c,HD 219134,348.3372026,57.1696255,5.2402,6.53127
325,WASP-66 b,WASP-66,158.2250301,-34.9899074,11.5904,500.258
326,HAT-P-23 b,HAT-P-23,306.1239076,16.7621462,12.1741,364.813
327,HAT-P-45 b,HAT-P-45,274.3732697,-3.3810594,12.3977,298.64
328,WASP-92 b,WASP-92,246.6920395,51.0411328,12.8183,575.889
329,55 Cnc f,55 Cnc,133.1468373,28.3298154,5.72973,12.5855
330,WASP-89 b,WASP-89,313.9000261,-18.9714084,12.989,290.946
331,LHS 1140 c,LHS 1140,11.248632,-15.2741085,12.6706,14.9861
332,TOI-421 c,TOI-421,81.8532824,-14.2767404,9.77776,74.7969
333,TOI-431 d,TOI-431,83.2692502,-26.7238698,8.79171,32.5686
334,HD 77946 b,HD 77946,136.777644,46.6724251,8.85184,99.451
335,TOI-1410.01,TOI-1410,334.8828486,42.5603141,10.8746,72.7512
336,TOI-1410 c,TOI-1410,334.8828486,42.5603141,10.8746,72.7512
337,HD 25463 b,HD 25463,60.7483361,9.2077676,6.77613,45.6181
338,TOI-1173 b,TOI-1173,197.6830975,70.7680117,10.8041,132.353
339,Gaia22dkvL b,Gaia22dkvL,151.769,-66.1808889,2,1270
340,HD 158259 e,HD 158259,261.3495847,52.7904721,6.30694,27.0498
341,WASP-142 b,WASP-142,140.5063164,-23.946102,12.7568,730.933
342,WASP-98 b,WASP-98,58.4290113,-34.3282716,12.8678,281.742
343,TOI-954 b,TOI-954,61.9410587,-25.2088028,10.2321,238.768
344,TOI-238 b,TOI-238,349.2310814,-18.6066463,10.4883,80.5407
345,WASP-61 b,WASP-61,75.2996637,-26.0541438,12.0702,488.66
346,Kepler-128 c,Kepler-128,282.4922622,43.9802442,11.2886,396.379
347,Kepler-305 c,Kepler-305,299.2242557,40.343167,15.7661,868.477
348,Kepler-37 b,Kepler-37,284.0592503,44.5183733,9.54988,63.9207
349,HD 158259 f,HD 158259,261.3495847,52.7904721,6.30694,27.0498
350,WASP-3 b,WASP-3,278.6317411,35.6614312,10.4525,231.161
351,KELT-23 A b,KELT-23 A,232.1466406,66.3587097,10.182,126.261
352,XO-7 b,XO-7,277.4780753,85.2333208,10.4575,234.149
353,Kepler-93 c,Kepler-93,291.4181275,38.6723124,9.86249,95.9115
354,Kepler-93 b,Kepler-93,291.4181275,38.6723124,9.86249,95.9115
